"Befolkning efter region, utbildningsnivå och år"
"2417 Norsjö" "eftergymnasial utbildning, 3 år eller mer" 168 225 260 275
"2418 Malå" "eftergymnasial utbildning, 3 år eller mer" 176 197 209 226
"2421 Storuman" "eftergymnasial utbildning, 3 år eller mer" 343 416 431 477
"2422 Sorsele" "eftergymnasial utbildning, 3 år eller mer" 143 174 194 207
"2425 Dorotea" "eftergymnasial utbildning, 3 år eller mer" 115 134 144 169
"2460 Vännäs" "eftergymnasial utbildning, 3 år eller mer" 643 756 850 964
"2462 Vilhelmina" "eftergymnasial utbildning, 3 år eller mer" 356 416 470 506
"2463 Åsele" "eftergymnasial utbildning, 3 år eller mer" 149 176 192 205
"2480 Umeå" "eftergymnasial utbildning, 3 år eller mer" 16812 20171 22090 24658
"2481 Lycksele" "eftergymnasial utbildning, 3 år eller mer" 856 1040 1151 1211
"2482 Skellefteå" "eftergymnasial utbildning, 3 år eller mer" 5259 6583 7522 8291
"2505 Arvidsjaur" "eftergymnasial utbildning, 3 år eller mer" 404 483 520 543
"2506 Arjeplog" "eftergymnasial utbildning, 3 år eller mer" 166 202 237 223
"2510 Jokkmokk" "eftergymnasial utbildning, 3 år eller mer" 344 419 463 481
"2513 Överkalix" "eftergymnasial utbildning, 3 år eller mer" 188 206 212 229
"2514 Kalix" "eftergymnasial utbildning, 3 år eller mer" 1120 1338 1374 1444
"2518 Övertorneå" "eftergymnasial utbildning, 3 år eller mer" 271 316 333 375
"2521 Pajala" "eftergymnasial utbildning, 3 år eller mer" 334 363 390 457
"2523 Gällivare" "eftergymnasial utbildning, 3 år eller mer" 1037 1276 1362 1538
"2560 Älvsbyn" "eftergymnasial utbildning, 3 år eller mer" 431 505 560 579
"2580 Luleå" "eftergymnasial utbildning, 3 år eller mer" 8302 9943 10897 12366
"2581 Piteå" "eftergymnasial utbildning, 3 år eller mer" 3066 3811 4294 4795
"2582 Boden" "eftergymnasial utbildning, 3 år eller mer" 2923 3339 3476 3657
"2583 Haparanda" "eftergymnasial utbildning, 3 år eller mer" 531 638 719 749
"2584 Kiruna" "eftergymnasial utbildning, 3 år eller mer" 1493 1855 2039 2267
